Timestamp_Dly	Dom_Wind_Direction_Dly	ENV__Dur_(Hrs)_Dly	Outside_Temp_(°F)_Dly-Ave	Wind_Chill_(°F)_Dly-Ave	Heat_Index_(°F)_Dly-Ave	Dew_Point_(°F)_Dly-Ave	Outside_Humidity_(%)_Dly-Ave	Wind_Speed_(mph)_Dly-Ave	Rain_Rate_(in/hr)_Dly-Ave	Barometer_(inHg)_Dly-Ave	Solar_Radiance_(W/m2)_Dly-Ave	Gr_Roof_Temp_(°F)_Dly-Ave	Wh_Roof_Temp_(°F)_Dly-Ave	Outside_Temp_(°F)_Dly-Min	Wind_Chill_(°F)_Dly-Min	Heat_Index_(°F)_Dly-Min	Dew_Point_(°F)_Dly-Min	Outside_Humidity_(%)_Dly-Min	Wind_Speed_(mph)_Dly-Min	Rain_Rate_(in/hr)_Dly-Min	Barometer_(inHg)_Dly-Min	Solar_Radiance_(W/m2)_Dly-Min	Gr_Roof_Temp_(°F)_Dly-Min	Wh_Roof_Temp_(°F)_Dly-Min	Outside_Temp_(°F)_Dly-Max	Wind_Chill_(°F)_Dly-Max	Heat_Index_(°F)_Dly-Max	Dew_Point_(°F)_Dly-Max	Outside_Humidity_(%)_Dly-Max	Wind_Speed_(mph)_Dly-Max	Rain_Rate_(in/hr)_Dly-Max	Barometer_(inHg)_Dly-Max	Solar_Radiance_(W/m2)_Dly-Max	Gr_Roof_Temp_(°F)_Dly-Max	Wh_Roof_Temp_(°F)_Dly-Max
12:00:00.000 AM 9/4/2015		24.001712	73.019980	73.017127	76.056258	69.291231	88.961847	1.377343	0.001440	29.446995	168.065596	74.207634	78.557366	65.940401	65.935201	67.369199	65.065142	69.302605	0.000000	0.000000	23.146731	0.000000	68.650647	59.819940	84.453908	84.453908	91.491984	73.291933	98.000000	4.174468	0.034420	29.951550	819.824701	81.520782	122.731250
12:00:00.000 AM 9/5/2015		23.998001	71.552009	71.539204	73.885366	68.109357	89.436435	0.953512	0.000000	27.873290	97.561886	73.318498	70.073141	66.707599	66.707599	68.334599	66.033056	73.618000	0.000000	0.000000	19.775399	0.000000	70.762736	57.617277	79.180399	79.180399	82.100399	70.827598	98.000000	3.970060	0.000000	30.038151	374.260956	76.846866	94.507666
12:00:00.000 AM 9/6/2015		24.000053	78.005004	78.004962	82.284391	69.651804	78.384719	0.656255	0.000000	25.532013	225.402099	75.122832	80.510948	66.266930	66.266930	67.785940	65.390465	50.759443	0.000000	0.000000	17.042888	0.000000	67.396325	56.006713	92.173360	92.173360	99.971458	72.419136	98.000000	2.178715	0.000000	30.020638	721.121272	83.644981	126.070405
12:00:00.000 AM 9/7/2015		24.001620	79.322591	79.317241	84.075128	70.415545	76.291488	1.469853	0.000000	27.321183	208.512034	77.781320	80.596460	68.661677	68.661677	70.520160	65.287848	53.125498	0.000000	0.000000	16.796452	0.000000	70.977609	58.588507	92.226893	92.226893	101.524502	74.449758	94.770916	4.413420	0.000000	29.921470	711.468127	84.357161	120.344254
12:00:00.000 AM 9/8/2015		24.000198	79.296197	79.281329	83.818152	71.241313	77.828112	1.554197	0.000000	26.729977	180.109231	78.733070	81.306044	71.524653	71.524653	74.033997	69.173080	56.763419	0.013944	0.000000	16.839207	0.000000	73.281391	63.431632	89.726946	89.685030	98.110730	75.150112	94.000000	5.586826	0.000000	29.841348	708.240343	84.764207	117.917644
12:00:00.000 AM 9/9/2015		23.999336	70.576829	70.531308	72.166716	64.460951	81.633707	2.866750	0.001243	26.385070	146.065421	73.168038	71.145756	61.384769	61.384769	61.524649	55.698088	67.035857	0.004008	0.000000	16.674230	0.000000	67.935783	44.236327	76.564415	76.442745	78.212724	68.942523	95.000000	4.906931	0.029702	29.848427	533.240079	77.968528	96.336686
12:00:00.000 AM 9/10/2015		24.000886	67.494261	67.486781	67.266952	54.179881	66.299992	0.901399	0.000000	26.588920	225.472313	66.306983	66.101329	53.988956	53.988956	54.019879	50.559009	37.357143	0.001984	0.000000	19.654488	0.000000	56.253558	37.072485	82.169901	82.168713	81.322178	58.008046	90.113320	3.708000	0.000000	29.862266	744.488095	76.443096	115.572216
12:00:00.000 AM 9/11/2015		23.998855	60.497682	60.468508	60.799833	56.896703	88.020085	2.211733	0.002545	26.613603	71.913549	63.165829	56.141057	56.265080	56.218651	56.260714	52.517160	80.153386	0.000000	0.000000	16.724001	0.000000	60.172657	45.342697	64.303201	64.303201	64.951400	59.640979	94.900596	3.626506	0.043121	30.066012	221.295409	68.074378	65.875481
12:00:00.000 AM 9/12/2015		24.001028	53.817810	52.950054	53.719743	49.031705	83.940108	3.708088	0.000000	26.897197	96.465616	55.314309	49.318138	48.544732	46.513253	48.552087	43.991320	75.409543	0.164329	0.000000	16.584000	0.000000	51.877380	34.659987	57.078529	56.793240	56.831611	52.263080	90.248996	7.179283	0.000000	29.867252	509.006000	59.276273	64.062361
12:00:00.000 AM 9/13/2015		23.999639	55.078940	54.499248	54.502073	45.827816	73.064850	3.342554	0.000000	28.479895	200.853251	53.146271	53.386688	44.763691	43.670635	44.949207	42.818980	48.590818	0.000000	0.000000	22.042141	0.000000	47.092814	33.844947	67.147106	66.793812	65.606188	47.561910	93.355159	6.733598	0.000000	30.329545	634.627490	60.348410	89.720583
